Presidential_Candidate,Message,Created_Time,Type,Link,story,Likes_Count,Comments_Count,Shares_Count,Engagement
Nana Addo Dankwa Akufo-Addo,NA,2017-06-30T20:20:00+0000,link,http://presidency.gov.gh/index.php/2017/06/30/president-akufo-addo-cuts-sod-for-start-of-barracks-regeneration-project/,Nana Addo Dankwa Akufo-Addo shared a link.,2480,36,65,2581
Nana Addo Dankwa Akufo-Addo,"This afternoon, I held my maiden durbar with all ranks of the Ghana Armed Forces, at the Burma Camp, in Accra. 

I commended them on the professionalism and discipline they exhibited during the recent traumatic event of the murder of Major Maxwell Mahama, and the national revulsion and outcry that it ignited.

I assured that my government will provide them with the resources to match their commitments, and will stand by the commitments made to them in our manifesto, so that they are adequately equipped to enable them perform their duties well.",2017-06-30T18:04:02+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155475837944836.1073742428.7893934835/10155475841644836/?type=3,Nana Addo Dankwa Akufo-Addo added 19 new photos to the album: Maiden Durbar with all ranks of the Ghana Armed Forces.,5244,107,276,5627
Nana Addo Dankwa Akufo-Addo,Congratulations to Prempeh College for winning #NSMQ2017. Favourites from the start; they justified that tag at the end of the contest. Better luck next time to the other schools.,2017-06-30T07:55:38+0000,status,NA,NA,5346,108,275,5729
Nana Addo Dankwa Akufo-Addo,"""I was the Guest of Honour at the 53rd Zambia International Trade Fair, held at Ndola, in the Copperbelt Province, on Thursday, June 29, the last day of my 3-day official State Visit to Zambia.",2017-06-29T14:45:54+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155471565844836.1073742427.7893934835/10155471566914836/?type=3,Nana Addo Dankwa Akufo-Addo added 12 new photos to the album: President Akufo-Addo at the 53rd Zambia International Trade Fair.,4636,68,232,4936
Nana Addo Dankwa Akufo-Addo,NA,2017-06-29T12:15:15+0000,link,http://presidency.gov.gh/index.php/2017/06/29/value-addition-key-to-africas-development-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,4659,35,108,4802
Nana Addo Dankwa Akufo-Addo,"Video: Visit to Amatheon Agri Farms, in Central Province, Zambia.",2017-06-29T09:00:00+0000,video,https://www.facebook.com/nakufoaddo/videos/10155476218319836/,NA,982,31,185,1198
Nana Addo Dankwa Akufo-Addo,NA,2017-06-28T17:06:40+0000,link,http://presidency.gov.gh/index.php/2017/06/28/continental-free-trade-area-is-africas-path-to-self-reliance-prosperity-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,3219,28,80,3327
Nana Addo Dankwa Akufo-Addo,"Video: Visit to the residence of Zambia's first President, Dr. Kenneth David Kaunda.",2017-06-28T16:41:05+0000,video,https://www.facebook.com/nakufoaddo/videos/10155467969919836/,NA,2575,45,303,2923
Nana Addo Dankwa Akufo-Addo,NA,2017-06-28T09:16:36+0000,link,http://presidency.gov.gh/index.php/2017/06/28/submerge-partisan-preferences-in-favour-of-zambias-development-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,3171,48,72,3291
Nana Addo Dankwa Akufo-Addo,NA,2017-06-27T20:58:14+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155464499379836.1073742426.7893934835/10155464506114836/?type=3,"Nana Addo Dankwa Akufo-Addo added 14 new photos to the album: Visit to Dr. Kenneth Kaunda, first President of Zambia.",6504,91,307,6902
